Mean Rating,Std. Dev of Rating,English Cognate,Spanish Cognate,Point of  Diff. Letter,RT (msec),Observations (Correct RTs),Accuracy
4.62,1.168,medium,mediano,5.0,922.7333333333333,30.0,1.0
7.0,0.0,mental,mental,7.0,751.7586206896551,29.0,1.0
4.71,1.175,method,método,4.0,830.1724137931035,29.0,0.90625
4.79,1.071,migrate,migrar,6.0,833.5,30.0,0.9090909090909091
5.69,0.897,military,militar,8.0,881.44,25.0,0.8928571428571429
4.86,1.002,minimal,mínimo,6.0,862.4642857142857,28.0,0.9333333333333333
5.52,0.634,minimize,minimizar,8.0,839.7407407407408,27.0,0.9642857142857143
5.12,0.889,minimum,mínimo,6.0,804.8888888888889,27.0,0.9642857142857143
5.29,0.944,ministry,ministro,8.0,886.625,32.0,1.0
5.1,1.394,minor,menor,2.0,1021.2068965517242,29.0,0.9666666666666667
5.62,0.987,mode,modo,4.0,803.0769230769231,26.0,0.896551724137931
4.57,0.888,modify,modificar,6.0,770.52,25.0,0.9259259259259259
7.0,0.0,monitor,monitor,8.0,726.7575757575758,33.0,0.9705882352941176
5.83,4.9,motive,motivo,6.0,793.0645161290323,31.0,0.9117647058823529
4.73,0.871,mutual,mutuo,5.0,943.925925925926,27.0,0.9
4.6,0.964,negate,negar,5.0,986.6153846153846,26.0,0.896551724137931
6.91,0.617,neutral,neutral,8.0,762.741935483871,31.0,0.9393939393939394
6.02,0.348,norm,norma,7.0,912.1666666666666,24.0,0.8888888888888888
7.0,0.0,normal,normal,5.0,735.4,30.0,0.9375
5.93,0.558,notion,noción,3.0,877.8888888888889,27.0,1.0
7.0,0.0,nuclear,nuclear,8.0,733.5151515151515,33.0,0.9705882352941176
5.71,0.673,objective,objetivo,5.0,708.5454545454545,22.0,0.9166666666666666
4.26,1.037,obtain,obtener,4.0,941.3333333333334,27.0,0.84375
4.91,0.958,obvious,obvio,6.0,873.0,30.0,0.967741935483871
5.07,0.712,occupy,ocupar,3.0,837.8260869565217,23.0,0.8214285714285714
5.24,0.878,occur,ocurrir,3.0,784.84,25.0,0.8333333333333334
5.6,1.083,option,opción,3.0,763.5357142857143,28.0,1.0
5.05,0.987,orient,orientar,7.0,853.56,25.0,0.8928571428571429
6.93,0.463,panel,panel,6.0,734.0,34.0,1.0
5.74,0.857,paradigm,paradigma,9.0,761.72,25.0,1.0
3.79,1.335,paragraph,párrafo,4.0,828.7931034482758,29.0,0.8529411764705882
5.29,0.742,parallel,paralelo,6.0,756.2758620689655,29.0,0.9666666666666667
5.02,1.093,parameter,parámetro,8.0,839.8260869565217,23.0,0.9583333333333334
5.19,0.943, participate,participar,10.0,806.3548387096774,31.0,1.0
5.26,0.798,passive,pasivo,4.0,784.2272727272727,22.0,0.9565217391304348
4.31,0.975,perceive,percibir,5.0,1062.607142857143,28.0,1.0
3.12,1.67,percent,por ciento,2.0,1649.7692307692307,13.0,0.4642857142857143
6.02,0.269,period,período,7.0,772.6071428571429,28.0,0.9655172413793104
5.14,1.072,persist,persistir,8.0,761.3103448275862,29.0,0.8787878787878788
5.91,0.484, perspective,perspectiva,11.0,822.7037037037037,27.0,1.0
4.24,1.778,phase,fase,1.0,1288.357142857143,14.0,0.4827586206896552
4.0,1.696,phenomenon,fenómeno,1.0,1119.8947368421052,19.0,0.7037037037037037
3.86,1.719,philosophy,filosofía,1.0,1181.0434782608695,23.0,0.6216216216216216
2.98,1.689,physical,físico,1.0,938.6666666666666,6.0,0.2
4.29,1.154,policy,póliza,5.0,885.5357142857143,28.0,0.9655172413793104
5.81,0.707,portion,porción,4.0,871.6363636363636,22.0,0.9565217391304348
5.12,0.705,pose,posar,4.0,975.1428571428571,21.0,0.8076923076923077
5.83,0.794,positive,positivo,8.0,709.6451612903226,31.0,1.0
5.88,0.889,potential,potencial,6.0,733.7878787878788,33.0,1.0
4.55,0.968,practitioner,practicante,6.0,847.4193548387096,31.0,0.96875
5.98,0.604,precede,preceder,8.0,920.7352941176471,34.0,1.0
5.83,0.49,precise,preciso,7.0,848.2222222222222,27.0,0.9310344827586207
4.67,0.954,predict,predecir,7.0,874.5,28.0,0.9655172413793104
5.81,0.89, predominant,predominante,12.0,747.8387096774194,31.0,0.96875
5.36,0.879, preliminary,preliminar,11.0,743.0344827586207,29.0,0.9666666666666667
6.81,0.943,presume,presumir,7.0,866.8260869565217,23.0,0.92
5.05,0.854,previous,previo,7.0,815.7741935483871,31.0,0.96875
5.29,1.132,primary,primario,7.0,810.9117647058823,34.0,1.0
6.12,1.55,prime,primo,5.0,753.6153846153846,26.0,0.8666666666666667
7.0,0.0, principal,principal,10.0,676.8,25.0,0.9259259259259259
4.71,0.97,priority,prioridad,7.0,925.3333333333334,30.0,0.967741935483871
4.76,0.85,proceed,proceder,6.0,838.7692307692307,26.0,1.0
5.76,0.532,process,proceso,7.0,725.28,25.0,0.9615384615384616
6.33,0.57,professional,profesional,7.0,631.6296296296297,27.0,0.9642857142857143
5.69,0.68,prohibit,prohibir,8.0,827.4583333333334,24.0,1.0
